kode_kecamatan,nama_kecamatan,Laki-Laki,Perempuan,total_pasien_hiv
3601010,Sumur,236.0,647.0,883.0
3601020,Cimanggu,391.0,1139.0,1530.0
3601030,Cibaliung,309.0,804.0,1113.0
3601031,Cibitung,214.0,690.0,904.0
3601040,Cikeusik,508.0,1710.0,2218.0
3601050,Cigeulis,337.0,1170.0,1507.0
3601060,Panimbang,492.0,1495.0,1987.0
3601061,Sobang,380.0,1021.0,1401.0
3601070,Munjul,252.0,840.0,1092.0
3601071,Angsana,277.0,797.0,1074.0
3601072,Sindangresmi,260.0,879.0,1139.0
3601080,Picung,411.0,1104.0,1515.0
3601090,Bojong,365.0,1338.0,1703.0
3601100,Saketi,443.0,1346.0,1789.0
3601101,Cisata,235.0,630.0,865.0
3601110,Pagelaran,388.0,1208.0,1596.0
3601111,Patia,303.0,995.0,1298.0
3601112,Sukaresmi,372.0,1044.0,1416.0
3601120,Labuan,601.0,1461.0,2062.0
3601121,Carita,355.0,1249.0,1604.0
3601130,Jiput,338.0,936.0,1274.0
3601131,Cikedal,362.0,921.0,1283.0
3601140,Menes,388.0,1296.0,1684.0
3601141,Pulosari,327.0,1015.0,1342.0
3601150,Mandalawangi,509.0,1636.0,2145.0
3601160,Cimanuk,431.0,1171.0,1602.0
3601161,Cipeucang,316.0,841.0,1157.0
3601170,Banjar,352.0,1318.0,1670.0
3601171,Kaduhejo,430.0,1105.0,1535.0
3601172,Mekarjaya,227.0,728.0,955.0
3601180,Pandeglang,771.0,1060.0,1831.0
3601181,Majasari,506.0,1507.0,2013.0
3601190,Cadasari,384.0,931.0,1315.0
3601191,Karangtanjung,342.0,829.0,1171.0
3601192,Koroncong,228.0,569.0,797.0
